region,census_code,총인구,총종사자수
분당(판교),31021580010001,420.0,28.0
분당(판교),31021580010002,473.0,546.0
분당(판교),31021580010003,441.0,12.0
분당(판교),31021580010004,481.0,30.0
분당(판교),31021580010005,410.0,149.0
분당(판교),31021580010006,436.0,10.0
분당(판교),31021580010007,443.0,270.0
분당(판교),31021580010008,538.0,215.0
분당(판교),31021580010009,424.0,760.0
분당(판교),31021580010010,408.0,49.0
분당(판교),31021580010011,526.0,30.0
분당(판교),31021580010012,464.0,63.0
분당(판교),31021580010013,446.0,23.0
분당(판교),31021580010014,436.0,7.0
분당(판교),31021580010015,408.0,29.0
분당(판교),31021580010016,486.0,16.0
분당(판교),31021580010017,496.0,8.0
분당(판교),31021580010018,572.0,23.0
분당(판교),31021580010019,512.0,25.0
분당(판교),31021580010020,466.0,66.0
분당(판교),31021580010021,411.0,25.0
분당(판교),31021580010022,477.0,68.0
분당(판교),31021580010023,397.0,13.0
분당(판교),31021580010024,452.0,8.0
분당(판교),31021580010025,458.0,22.0
분당(판교),31021580010026,593.0,46.0
분당(판교),31021580010027,552.0,13.0
분당(판교),31021580010028,405.0,43.0
분당(판교),31021580010029,439.0,213.0
분당(판교),31021580010030,532.0,21.0
분당(판교),31021590010001,482.0,303.0
분당(판교),31021590010002,528.0,415.0
분당(판교),31021590010003,462.0,66.0
분당(판교),31021590010004,563.0,378.0
분당(판교),31021590010005,405.0,62.0
분당(판교),31021590010006,502.0,362.0
분당(판교),31021590010007,425.0,172.0
분당(판교),31021590010201,569.0,15.0
분당(판교),31021590010202,577.0,8.0
분당(판교),31021590010203,573.0,68.0
분당(판교),31021590010204,613.0,13.0
분당(판교),31021590020001,473.0,502.0
분당(판교),31021590020002,467.0,627.0
분당(판교),31021590020003,443.0,27.0
분당(판교),31021590020004,406.0,14.0
분당(판교),31021590020005,489.0,6.0
분당(판교),31021590020006,417.0,12.0
분당(판교),31021590020007,399.0,56.0
분당(판교),31021590020008,583.0,99.0
분당(판교),31021590020009,546.0,140.0
분당(판교),31021590020010,402.0,340.0
분당(판교),31021590020011,467.0,13.0
분당(판교),31021590020012,442.0,18.0
분당(판교),31021590020013,568.0,13.0
분당(판교),31021590020014,530.0,43.0
분당(판교),31021590020015,473.0,530.0
분당(판교),31021590020016,402.0,151.0
분당(판교),31021590020017,424.0,295.0
분당(판교),31021590020018,417.0,190.0
분당(판교),31021590020019,594.0,10.0
분당(판교),31021590020020,442.0,21.0
분당(판교),31021590020021,503.0,57.0
분당(판교),31021590020022,560.0,18.0
분당(판교),31021590020701,467.0,51.0
분당(판교),31021590030101,448.0,29.0
분당(판교),31021590030102,300.0,31.0
분당(판교),31021600010001,455.0,889.0
분당(판교),31021600010002,414.0,47.0
분당(판교),31021600010003,600.0,239.0
분당(판교),31021600010004,427.0,409.0
분당(판교),31021600010005,593.0,387.0
분당(판교),31021600010006,461.0,59.0
분당(판교),31021600010007,400.0,242.0
분당(판교),31021600010008,432.0,14.0
분당(판교),31021600010009,475.0,70.0
분당(판교),31021600010010,407.0,169.0
분당(판교),31021600010011,456.0,24.0
분당(판교),31021600010012,446.0,193.0
분당(판교),31021600010013,417.0,310.0
분당(판교),31021600010014,398.0,11.0
분당(판교),31021600010015,513.0,204.0
분당(판교),31021600010101,588.0,30.0
분당(판교),31021600010201,588.0,40.0
분당(판교),31021600010401,586.0,18.0
분당(판교),31021600010501,569.0,20.0
분당(판교),31021600010502,508.0,74.0
분당(판교),31021600010503,324.0,2.0
분당(판교),31021600010601,558.0,9.0
분당(판교),31021600010801,531.0,14.0
분당(판교),31021600010802,421.0,15.0
분당(판교),31021600010803,503.0,14.0
분당(판교),31021600010804,494.0,27.0
분당(판교),31021600010805,531.0,34.0
분당(판교),31021600010806,411.0,33.0
분당(판교),31021600010901,506.0,7.0
분당(판교),31021610010001,442.0,430.0
분당(판교),31021610010002,454.0,350.0
